month,price
1/1/2003,$54
2/1/2003,$54
3/1/2003,$50
4/1/2003,$52
5/1/2003,$53
6/1/2003,$49
7/1/2003,$51
8/1/2003,$52
9/1/2003,$54
10/1/2003,$52
11/1/2003,$50
12/1/2003,$52
1/1/2004,$59
2/1/2004,$60
3/1/2004,$61
4/1/2004,$59
5/1/2004,$60
6/1/2004,$64
7/1/2004,$58
8/1/2004,$57
9/1/2004,$61
10/1/2004,$61
11/1/2004,$68
12/1/2004,$78
1/1/2005,$79
2/1/2005,$89
3/1/2005,$101
4/1/2005,$98
5/1/2005,$100
6/1/2005,$96
7/1/2005,$88
8/1/2005,$85
9/1/2005,$79
10/1/2005,$83
11/1/2005,$86
12/1/2005,$87
1/1/2006,$101
2/1/2006,$97
3/1/2006,$93
4/1/2006,$94
5/1/2006,$90
6/1/2006,$86
7/1/2006,$89
8/1/2006,$96
9/1/2006,$96
10/1/2006,$96
11/1/2006,$103
12/1/2006,$108
1/1/2007,$106
2/1/2007,$104
3/1/2007,$100
4/1/2007,$99
5/1/2007,$100
6/1/2007,$107
7/1/2007,$106
8/1/2007,$108
9/1/2007,$113
10/1/2007,$116
11/1/2007,$114
12/1/2007,$118
1/1/2008,$122
2/1/2008,$139
3/1/2008,$136
4/1/2008,$127
5/1/2008,$127
6/1/2008,$131
7/1/2008,$133
8/1/2008,$131
9/1/2008,$127
10/1/2008,$108
11/1/2008,$108
12/1/2008,$103
1/1/2009,$108
2/1/2009,$108
3/1/2009,$106
4/1/2009,$112
5/1/2009,$123
6/1/2009,$119
7/1/2009,$113
8/1/2009,$117
9/1/2009,$116
10/1/2009,$121
11/1/2009,$120
12/1/2009,$125
1/1/2010,$127
2/1/2010,$123
3/1/2010,$125
4/1/2010,$127
5/1/2010,$128
6/1/2010,$142
7/1/2010,$153
8/1/2010,$157
9/1/2010,$164
10/1/2010,$162
11/1/2010,$174
12/1/2010,$184
